Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification
Double Clubbell Order Foot Elevated Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Order,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Clubbell Front Flag Hold Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1,None,0,Standing,Double Arm,Continuous,Neutral,Front Flag Hold,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Clubbell Front Flag Hold Alternating Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1,None,0,Standing,Double Arm,Continuous,Neutral,Front Flag Hold,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Clubbell Front Flag Hold Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1,None,0,Standing,Double Arm,Continuous,Neutral,Front Flag Hold,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Clubbell Front Flag Hold Foot Elevated Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1,None,0,Standing,Double Arm,Continuous,Neutral,Front Flag Hold,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Clubbell Front Flag Hold Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Front Flag Hold,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Clubbell Front Flag Hold Alternating Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Front Flag Hold,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Clubbell Front Flag Hold Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Front Flag Hold,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Clubbell Front Flag Hold Foot Elevated Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,2,None,0,Standing,Double Arm,Continuous,Neutral,Front Flag Hold,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Clubbell Order Contralateral Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Clubbell Order Alternating Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Clubbell Order Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Clubbell Order Foot Elevated Contralateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Order,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Clubbell Front Flag Hold Contralateral Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Front Flag Hold,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Clubbell Front Flag Hold Alternating Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Front Flag Hold,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Clubbell Front Flag Hold Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Front Flag Hold,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Clubbell Front Flag Hold Foot Elevated Contralateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Front Flag Hold,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Heavy Sandbag Bear Hug Carry,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,Biceps Brachii,Gluteus Maximus,Heavy Sandbag,1,None,0,Walking,Double Arm,Continuous,Neutral,Bear Hug,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
Dumbbell Hip Thrust,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,,,Dumbbell,1,Bench (Flat),1,Bridge,Double Arm,Continuous,Neutral,Hip Crease,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
Double Dumbbell Overhead Carry,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Obliques,,Dumbbell,2,None,0,Walking,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Unsorted*
Single Arm Kettlebell Bottoms Up Split Jerk,,,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Minimus,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Unsorted*
Alternating Single Arm Kettlebell Bottoms Up Clean,,,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,1,None,0,Standing,Single Arm,Alternating,Bottoms Up,Front Rack,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Single Arm Kettlebell Bottoms Up Clean,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Alternating Single Arm Kettlebell Bottoms Up Clean to Thruster,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,1,None,0,Standing,Single Arm,Alternating,Bottoms Up,Overhead,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Alternating Single Arm Kettlebell Bottoms Up Clean to Front Rack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,None,0,Standing,Single Arm,Alternating,Bottoms Up,Front Rack,No Elevation,Combo Exercise,Knee Dominant,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Unsorted*
Heavy Sandbag Shoulder Carry,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Obliques,Gluteus Maximus,Heavy Sandbag,1,None,0,Walking,Single Arm,Continuous,Neutral,Shoulder,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Unsorted*
Double Dumbbell Front Rack Carry,Video Demonstration,,Novice,Abdominals,Rectus Abdominis,Gluteus Maximus,,Dumbbell,2,None,0,Walking,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
Single Arm Dumbbell Front Rack Carry,Video Demonstration,,Novice,Abdominals,Rectus Abdominis,Gluteus Maximus,,Dumbbell,1,None,0,Walking,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Unsorted*
Double Clubbell Order Carry,,,Novice,Forearms,Brachioradialis,Rectus Abdominis,Gluteus Maximus,Clubbell,2,None,0,Walking,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
Single Arm Clubbell Order Carry,,,Novice,Forearms,Brachioradialis,Rectus Abdominis,Gluteus Maximus,Clubbell,1,None,0,Walking,Single Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Unsorted*
Double Clubbell Front Flag Hold Carry,,,Intermediate,Forearms,Brachioradialis,Rectus Abdominis,Gluteus Maximus,Clubbell,2,None,0,Walking,Double Arm,Continuous,Neutral,Front Flag Hold,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
Single Arm Clubbell Front Flag Hold Carry,,,Intermediate,Forearms,Brachioradialis,Rectus Abdominis,Gluteus Maximus,Clubbell,1,None,0,Walking,Single Arm,Continuous,Neutral,Front Flag Hold,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Unsorted*
Barbell Overhead Carry,Video Demonstration,,Advanced,Shoulders,Anterior Deltoids,Rectus Abdominis,Gluteus Maximus,Barbell,1,None,0,Walking,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
Single Arm Barbell Overhead Carry,,,Expert,Shoulders,Anterior Deltoids,Rectus Abdominis,Gluteus Maximus,Barbell,1,None,0,Walking,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Unsorted*
Barbell Front Rack Carry,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,,Barbell,1,None,0,Walking,Double Arm,Continuous,Pronated,Front Rack,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
Single Arm Kettlebell Split Squat Thruster,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Kettlebell,1,None,0,Split Squat,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Suitcase Alternating Reverse Lunge,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Alternating Single Arm Kettlebell Sumo Deadlift,Video Demonstration,,Novice,Back,Latissimus Dorsi,Gluteus Maximus,Biceps Femoris,Kettlebell,1,None,0,Standing,Single Arm,Alternating,Pronated,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Pull,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Suitcase March,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Kettlebell,1,None,0,March,Single Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Balance
Single Arm Kettlebell Bottoms Up Overhead March,,,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,1,None,0,March,Single Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Balance
Single Arm Kettlebell Bottoms Up Front Rack March,,,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,1,None,0,March,Single Arm,Continuous,Bottoms Up,Front Rack,No Elevation,Single Exercise,,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Balance
Double Kettlebell Half Snatch,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Hip Hinge,,,,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
Alternating Single Arm Kettlebell Half Snatch,,,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,1,None,0,Standing,Single Arm,Alternating,Pronated,Overhead,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Single Arm Kettlebell Half Snatch,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Double Kettlebell Half Snatch to Thruster,,,Advanced,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,Knee Dominant,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
Double Kettlebell Overhead Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Heavy Sandbag Bear Hug Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Heavy Sandbag,1,None,0,Standing,Double Arm,Continuous,Neutral,Bear Hug,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Unsorted*
Heavy Sandbag Shoulder Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Heavy Sandbag,1,None,0,Standing,Single Arm,Continuous,Neutral,Shoulder,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Unsorted*
Heavy Sandbag Turkish Get Up,Video Demonstration,Video Explanation,Advanced,Abdominals,Obliques,Rectus Abdominis,,Heavy Sandbag,1,None,0,Supine,Single Arm,Continuous,Neutral,Shoulder,No Elevation,Single Exercise,Rotational,,,Transverse Plane,Sagittal Plane,,Full Body,Other,Compound,Unilateral,Grinds
Heavy Sandbag Bear Hug Alternating Forward Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Brachii,Heavy Sandbag,1,None,0,Standing,Double Arm,Continuous,Neutral,Bear Hug,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Unsorted*
Heavy Sandbag Bear Hug Alternating Reverse Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Heavy Sandbag,1,None,0,Standing,Double Arm,Continuous,Neutral,Bear Hug,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Bodybuilding
Heavy Sandbag Shoulder Alternating Forward Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Heavy Sandbag,1,None,0,Standing,Single Arm,Continuous,Neutral,Shoulder,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Unsorted*
Heavy Sandbag Shoulder Alternating Reverse Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Heavy Sandbag,1,None,0,Standing,Single Arm,Continuous,Neutral,Shoulder,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Heavy Sandbag Shoulder Walking Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Heavy Sandbag,1,None,0,Walking,Single Arm,Continuous,Neutral,Shoulder,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Unsorted*
Heavy Sandbag Shoulder Clean,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Rectus Abdominis,Heavy Sandbag,1,None,0,Standing,Double Arm,Continuous,,Shoulder,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
Heavy Sandbag Over the Shoulder,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Rectus Abdominis,Heavy Sandbag,1,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
Heavy Sandbag Alternating Shoulder Clean,,,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Rectus Abdominis,Heavy Sandbag,1,None,0,Standing,Double Arm,Continuous,,Shoulder,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
Heavy Sandbag Alternating Over the Shoulder,,,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Rectus Abdominis,Heavy Sandbag,1,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
Heavy Sandbag Bear Hug Walking Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Brachii,Heavy Sandbag,1,None,0,Walking,Double Arm,Continuous,Neutral,Bear Hug,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Unsorted*
Double Dumbbell Turkish Get Up,,,Advanced,Abdominals,Obliques,Rectus Abdominis,,Dumbbell,2,None,0,Supine,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Rotational,,,Transverse Plane,Sagittal Plane,,Full Body,Other,Compound,Bilateral,Unsorted*
Alternating Single Arm Clubbell Mill,Video Demonstration,,Intermediate,Shoulders,Posterior Deltoids,Gluteus Maximus,Obliques,Clubbell,1,None,0,Standing,Single Arm,Alternating,Neutral,Behind Back,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Unilateral,Ballistics
Bodyweight Hand Assisted Sissy Squat,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Standing,Double Arm,Continuous,Hand Assisted,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Bodyweight Sissy Squat,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Bodyweight Hand Assisted Knee Over Toe Split Squat,Video Demonstration,Video Explanation,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Knee Over Toe Split Squat,Single Arm,Continuous,Hand Assisted,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Superband Sissy Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Superband,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Double Dumbbell Front Rack Walking Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2,None,0,Walking,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Dumbbell Suitcase Walking Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1,None,0,Walking,Single Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Knee Dominant,Anti-Lateral Flexion,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Dumbbell Overhead Walking Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1,None,0,Walking,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Dumbbell Front Rack Walking Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1,None,0,Walking,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
